date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:09	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/lvwo79gdncw?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/lvwo79gdncw.828344.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:10	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%229bebb6499ae283c77da40befadc0ed91%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/LDrc95sjxK4?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/LDrc95sjxK4.838344.delayed	(from http://www.mervynupton.co.uk/films)
18:45:11	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/re8nDBieKIo?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/re8nDBieKIo.848344.delayed	(from http://www.mervynupton.co.uk/films)
18:45:12	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/3wiIe_RPw1Q?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/3wiIe_RPw1Q.858344.delayed	(from http://www.mervynupton.co.uk/films)
18:45:13	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/S6KqmTzflNw?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/S6KqmTzflNw.868344.delayed	(from http://www.mervynupton.co.uk/films)
18:45:14	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/jjEuJLaAWeY?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/jjEuJLaAWeY.878344.delayed	(from http://www.mervynupton.co.uk/films)
18:45:15	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/aY6G3oc2ixQ?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/aY6G3oc2ixQ.888344.delayed	(from http://www.mervynupton.co.uk/films)
18:45:16	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%229bebb6499ae283c77da40befadc0ed91%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/_hVGRtqD79s?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/_hVGRtqD79s.898344.delayed	(from http://www.mervynupton.co.uk/films)
18:45:17	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/yxVSECxSCGo?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/yxVSECxSCGo.8a8344.delayed	(from http://www.mervynupton.co.uk/films)
18:45:18	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%229bebb6499ae283c77da40befadc0ed91%22	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/AJ-Ms4TMCQ0?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/AJ-Ms4TMCQ0.8b8344.delayed	(from http://www.mervynupton.co.uk/films)
